,rel_val,topic,week_dt,year,month,week_of_year
0,14,trump,2016-05-01,2016,5,17
1,9,trump,2016-05-08,2016,5,18
2,8,trump,2016-05-15,2016,5,19
3,8,trump,2016-05-22,2016,5,20
4,8,trump,2016-05-29,2016,5,21
5,10,trump,2016-06-05,2016,6,22
6,11,trump,2016-06-12,2016,6,23
7,9,trump,2016-06-19,2016,6,24
8,7,trump,2016-06-26,2016,6,25
9,8,trump,2016-07-03,2016,7,26
10,10,trump,2016-07-10,2016,7,27
11,24,trump,2016-07-17,2016,7,28
12,19,trump,2016-07-24,2016,7,29
13,19,trump,2016-07-31,2016,7,30
14,13,trump,2016-08-07,2016,8,31
15,12,trump,2016-08-14,2016,8,32
16,10,trump,2016-08-21,2016,8,33
17,11,trump,2016-08-28,2016,8,34
18,10,trump,2016-09-04,2016,9,35
19,11,trump,2016-09-11,2016,9,36
20,10,trump,2016-09-18,2016,9,37
21,22,trump,2016-09-25,2016,9,38
22,23,trump,2016-10-02,2016,10,39
23,39,trump,2016-10-09,2016,10,40
24,27,trump,2016-10-16,2016,10,41
25,21,trump,2016-10-23,2016,10,42
26,23,trump,2016-10-30,2016,10,43
27,100,trump,2016-11-06,2016,11,44
28,35,trump,2016-11-13,2016,11,45
29,19,trump,2016-11-20,2016,11,46
30,15,trump,2016-11-27,2016,11,47
31,13,trump,2016-12-04,2016,12,48
32,13,trump,2016-12-11,2016,12,49
33,12,trump,2016-12-18,2016,12,50
34,9,trump,2016-12-25,2016,12,51
35,11,trump,2017-01-01,2017,1,52
36,22,trump,2017-01-08,2017,1,1
37,44,trump,2017-01-15,2017,1,2
38,43,trump,2017-01-22,2017,1,3
39,39,trump,2017-01-29,2017,1,4
40,24,trump,2017-02-05,2017,2,5
41,24,trump,2017-02-12,2017,2,6
42,18,trump,2017-02-19,2017,2,7
43,18,trump,2017-02-26,2017,2,8
44,14,trump,2017-03-05,2017,3,9
45,15,trump,2017-03-12,2017,3,10
46,15,trump,2017-03-19,2017,3,11
47,12,trump,2017-03-26,2017,3,12
48,13,trump,2017-04-02,2017,4,13
