date,weekly_ufopct,year,month
2006-01-08,0.6382978723404255,2006,1
2006-01-15,1.702127659574468,2006,1
2006-01-22,1.276595744680851,2006,1
2006-01-29,1.702127659574468,2006,1
2007-01-07,29.36170212765957,2007,1
2007-01-14,13.829787234042554,2007,1
2007-01-21,15.319148936170214,2007,1
2007-01-28,16.595744680851062,2007,1
2008-01-06,24.042553191489358,2008,1
2008-01-13,18.08510638297872,2008,1
2008-01-20,21.27659574468085,2008,1
2008-01-27,18.08510638297872,2008,1
2009-01-04,13.404255319148936,2009,1
2009-01-11,13.404255319148936,2009,1
2009-01-18,24.46808510638298,2009,1
2009-01-25,17.872340425531913,2009,1
2010-01-03,10.212765957446807,2010,1
2010-01-10,11.48936170212766,2010,1
2010-01-17,8.51063829787234,2010,1
2010-01-24,8.936170212765957,2010,1
2010-01-31,7.234042553191488,2010,1
2011-01-02,32.34042553191489,2011,1
2011-01-09,13.829787234042554,2011,1
2011-01-16,13.617021276595745,2011,1
2011-01-23,9.148936170212766,2011,1
2011-01-30,9.787234042553193,2011,1
2012-01-01,39.14893617021277,2012,1
2012-01-08,41.06382978723404,2012,1
2012-01-15,22.76595744680851,2012,1
2012-01-22,18.72340425531915,2012,1
2012-01-29,17.872340425531913,2012,1
2013-01-06,47.23404255319149,2013,1
2013-01-13,11.914893617021274,2013,1
2013-01-20,14.468085106382976,2013,1
2013-01-27,12.127659574468085,2013,1
2014-01-05,47.8723404255319,2014,1
2014-01-12,22.5531914893617,2014,1
2014-01-19,30.425531914893607,2014,1
2014-01-26,27.446808510638288,2014,1
2015-01-04,18.29787234042553,2015,1
2015-01-11,21.70212765957447,2015,1
2015-01-18,20.21276595744681,2015,1
2015-01-25,18.72340425531915,2015,1
2016-01-03,13.617021276595745,2016,1
2016-01-10,13.829787234042554,2016,1
2016-01-17,15.531914893617019,2016,1
2016-01-24,14.255319148936168,2016,1
2016-01-31,17.02127659574468,2016,1
2017-01-01,19.574468085106385,2017,1
2017-01-08,9.148936170212766,2017,1
2017-01-15,14.468085106382976,2017,1
2017-01-22,10.425531914893618,2017,1
2017-01-29,18.29787234042553,2017,1
2018-01-07,19.148936170212764,2018,1
2018-01-14,8.936170212765957,2018,1
2018-01-21,15.106382978723405,2018,1
2018-01-28,12.553191489361698,2018,1
2019-01-06,20.851063829787236,2019,1
2019-01-13,15.106382978723405,2019,1
2019-01-20,11.48936170212766,2019,1
2019-01-27,11.48936170212766,2019,1
2020-01-05,17.659574468085104,2020,1
2020-01-12,25.74468085106383,2020,1
2020-01-19,19.361702127659573,2020,1
2020-01-26,10.0,2020,1
2006-02-05,0.425531914893617,2006,2
2006-02-12,1.276595744680851,2006,2
2006-02-19,2.3404255319148937,2006,2
2006-02-26,0.425531914893617,2006,2
2007-02-04,11.063829787234043,2007,2
2007-02-11,12.340425531914892,2007,2
2007-02-18,9.361702127659576,2007,2
2007-02-25,11.48936170212766,2007,2
2008-02-03,15.531914893617019,2008,2
2008-02-10,11.914893617021274,2008,2
2008-02-17,16.595744680851062,2008,2
2008-02-24,19.78723404255319,2008,2
2009-02-01,17.02127659574468,2009,2
2009-02-08,19.574468085106385,2009,2
2009-02-15,18.08510638297872,2009,2
2009-02-22,14.468085106382976,2009,2
2010-02-07,7.659574468085107,2010,2
2010-02-14,8.297872340425531,2010,2
2010-02-21,9.787234042553193,2010,2
2010-02-28,6.5957446808510625,2010,2
2011-02-06,12.127659574468085,2011,2
2011-02-13,12.127659574468085,2011,2
2011-02-20,13.404255319148936,2011,2
2011-02-27,11.063829787234043,2011,2
2012-02-05,22.34042553191489,2012,2
2012-02-12,18.08510638297872,2012,2
2012-02-19,14.893617021276595,2012,2
2012-02-26,13.404255319148936,2012,2
2013-02-03,11.27659574468085,2013,2
2013-02-10,11.914893617021274,2013,2
2013-02-17,14.255319148936168,2013,2
2013-02-24,12.340425531914892,2013,2
2014-02-02,27.446808510638288,2014,2
2014-02-09,20.21276595744681,2014,2
2014-02-16,22.76595744680851,2014,2
2014-02-23,32.127659574468076,2014,2
2015-02-01,20.851063829787236,2015,2
2015-02-08,18.29787234042553,2015,2
2015-02-15,15.106382978723405,2015,2
2015-02-22,12.553191489361698,2015,2
2016-02-07,18.29787234042553,2016,2
2016-02-14,24.46808510638298,2016,2
2016-02-21,17.446808510638302,2016,2
2016-02-28,15.957446808510635,2016,2
2017-02-05,14.042553191489361,2017,2
2017-02-12,15.319148936170214,2017,2
2017-02-19,25.53191489361702,2017,2
2017-02-26,19.361702127659573,2017,2
2018-02-04,7.0212765957446805,2018,2
2018-02-11,12.76595744680851,2018,2
2018-02-18,12.340425531914892,2018,2
2018-02-25,10.212765957446807,2018,2
2019-02-03,8.936170212765957,2019,2
2019-02-10,12.127659574468085,2019,2
2019-02-17,7.446808510638298,2019,2
2019-02-24,7.872340425531916,2019,2
2020-02-02,14.255319148936168,2020,2
2020-02-09,17.02127659574468,2020,2
2020-02-16,17.872340425531913,2020,2
2020-02-23,26.38297872340425,2020,2
2006-03-05,1.0638297872340423,2006,3
2006-03-12,2.127659574468085,2006,3
2006-03-19,3.8297872340425534,2006,3
2006-03-26,1.0638297872340423,2006,3
2007-03-04,14.468085106382976,2007,3
2007-03-11,15.957446808510635,2007,3
2007-03-18,15.957446808510635,2007,3
2007-03-25,11.063829787234043,2007,3
2008-03-02,15.957446808510635,2008,3
2008-03-09,14.680851063829785,2008,3
2008-03-16,14.042553191489361,2008,3
2008-03-23,12.553191489361698,2008,3
2008-03-30,14.680851063829785,2008,3
2009-03-01,13.404255319148936,2009,3
2009-03-08,12.127659574468085,2009,3
2009-03-15,11.914893617021274,2009,3
2009-03-22,16.170212765957444,2009,3
2009-03-29,11.48936170212766,2009,3
2010-03-07,11.702127659574465,2010,3
2010-03-14,9.574468085106382,2010,3
2010-03-21,12.340425531914892,2010,3
2010-03-28,8.297872340425531,2010,3
2011-03-06,17.23404255319149,2011,3
2011-03-13,14.255319148936168,2011,3
2011-03-20,12.76595744680851,2011,3
2011-03-27,10.638297872340424,2011,3
2012-03-04,15.319148936170214,2012,3
2012-03-11,18.936170212765962,2012,3
2012-03-18,30.21276595744681,2012,3
2012-03-25,23.40425531914893,2012,3
2013-03-03,18.29787234042553,2013,3
2013-03-10,16.170212765957444,2013,3
2013-03-17,15.319148936170214,2013,3
2013-03-24,11.702127659574465,2013,3
2013-03-31,18.29787234042553,2013,3
2014-03-02,23.40425531914893,2014,3
2014-03-09,18.51063829787234,2014,3
2014-03-16,17.02127659574468,2014,3
2014-03-23,19.361702127659573,2014,3
2014-03-30,20.851063829787236,2014,3
2015-03-01,15.531914893617019,2015,3
2015-03-08,19.574468085106385,2015,3
2015-03-15,24.893617021276594,2015,3
2015-03-22,20.851063829787236,2015,3
2015-03-29,16.80851063829787,2015,3
2016-03-06,20.851063829787236,2016,3
2016-03-13,16.595744680851062,2016,3
2016-03-20,17.446808510638302,2016,3
2016-03-27,13.404255319148936,2016,3
2017-03-05,10.851063829787234,2017,3
2017-03-12,14.468085106382976,2017,3
2017-03-19,18.51063829787234,2017,3
2017-03-26,12.978723404255321,2017,3
2018-03-04,11.914893617021274,2018,3
2018-03-11,9.361702127659576,2018,3
2018-03-18,9.574468085106382,2018,3
2018-03-25,10.0,2018,3
2019-03-03,8.723404255319151,2019,3
2019-03-10,7.446808510638298,2019,3
2019-03-17,15.531914893617019,2019,3
2019-03-24,11.914893617021274,2019,3
2019-03-31,14.468085106382976,2019,3
2020-03-01,23.617021276595747,2020,3
2020-03-08,47.6595744680851,2020,3
2020-03-15,15.531914893617019,2020,3
2020-03-22,19.361702127659573,2020,3
2020-03-29,38.08510638297872,2020,3
2006-04-02,3.404255319148936,2006,4
2006-04-09,9.148936170212766,2006,4
2006-04-16,10.425531914893618,2006,4
2006-04-23,12.553191489361698,2006,4
2006-04-30,13.829787234042554,2006,4
2007-04-01,12.127659574468085,2007,4
2007-04-08,11.48936170212766,2007,4
2007-04-15,10.425531914893618,2007,4
