,startdateweek,weekly_ufocount,weekly_ufopct,year,month,weeknum,week_id
0,2014-07-06,470,100.0,2014,7,27,2014-27
1,2015-11-08,406,86.38297872340425,2015,11,45,2015-45
2,2020-04-19,403,85.74468085106382,2020,4,16,2020-16
3,2013-07-07,399,84.8936170212766,2013,7,27,2013-27
4,2012-07-08,339,72.12765957446808,2012,7,27,2012-27
5,2010-07-04,321,68.29787234042553,2010,7,26,2010-26
6,2020-05-03,305,64.8936170212766,2020,5,18,2020-18
7,2015-07-05,292,62.127659574468076,2015,7,27,2015-27
8,2012-08-12,239,50.85106382978723,2012,8,32,2012-32
9,2011-07-10,238,50.638297872340424,2011,7,27,2011-27
10,2014-01-05,225,47.8723404255319,2014,1,1,2014-1
11,2020-03-08,224,47.6595744680851,2020,3,10,2020-10
12,2013-01-06,222,47.23404255319149,2013,1,1,2013-1
13,2019-05-26,214,45.53191489361702,2019,5,21,2019-21
14,2009-09-20,212,45.1063829787234,2009,9,38,2009-38
15,2013-12-29,211,44.8936170212766,2013,12,52,2013-52
16,2014-08-31,210,44.680851063829785,2014,8,35,2014-35
17,2014-06-22,207,44.04255319148936,2014,6,25,2014-25
18,2011-07-03,206,43.82978723404255,2011,7,26,2011-26
19,2020-04-26,205,43.61702127659574,2020,4,17,2020-17
20,2014-09-28,199,42.34042553191489,2014,9,39,2014-39
21,2014-08-24,198,42.127659574468076,2014,8,34,2014-34
22,2012-11-11,195,41.48936170212766,2012,11,45,2012-45
23,2013-09-29,194,41.276595744680854,2013,9,39,2013-39
24,2016-07-31,194,41.276595744680854,2016,7,30,2016-30
25,2012-01-08,193,41.06382978723404,2012,1,1,2012-1
26,2013-08-18,193,41.06382978723404,2013,8,33,2013-33
27,2020-08-16,190,40.42553191489362,2020,8,33,2020-33
28,2012-11-18,187,39.78723404255319,2012,11,46,2012-46
29,2012-08-19,185,39.361702127659576,2012,8,33,2012-33
30,2012-01-01,184,39.14893617021277,2012,1,52,2012-52
31,2012-12-30,184,39.14893617021277,2012,12,52,2012-52
32,2012-06-24,182,38.723404255319146,2012,6,25,2012-25
33,2014-07-13,181,38.51063829787234,2014,7,28,2014-28
34,2013-08-11,179,38.08510638297872,2013,8,32,2013-32
35,2020-03-29,179,38.08510638297872,2020,3,13,2020-13
36,2014-08-03,177,37.659574468085104,2014,8,31,2014-31
37,2020-04-12,177,37.659574468085104,2020,4,15,2020-15
38,2012-07-01,175,37.23404255319149,2012,7,26,2012-26
39,2013-10-27,175,37.23404255319149,2013,10,43,2013-43
40,2012-09-16,174,37.02127659574468,2012,9,37,2012-37
41,2008-07-06,171,36.38297872340426,2008,7,27,2008-27
42,2013-08-25,171,36.38297872340426,2013,8,34,2013-34
43,2014-10-12,171,36.38297872340426,2014,10,41,2014-41
44,2013-12-01,168,35.744680851063826,2013,12,48,2013-48
45,2012-08-26,167,35.53191489361703,2012,8,34,2012-34
46,2015-09-27,167,35.53191489361703,2015,9,39,2015-39
47,2014-09-21,167,35.53191489361703,2014,9,38,2014-38
48,2009-07-05,166,35.31914893617021,2009,7,27,2009-27
49,2014-06-29,164,34.893617021276604,2014,6,26,2014-26
50,2014-10-26,164,34.893617021276604,2014,10,43,2014-43
51,2019-10-13,164,34.893617021276604,2019,10,41,2019-41
52,2014-09-07,164,34.893617021276604,2014,9,36,2014-36
53,2019-12-22,163,34.680851063829785,2019,12,51,2019-51
54,2014-10-19,161,34.255319148936174,2014,10,42,2014-42
55,2014-08-17,160,34.04255319148936,2014,8,33,2014-33
56,2013-10-13,160,34.04255319148936,2013,10,41,2013-41
57,2013-08-04,159,33.82978723404255,2013,8,31,2013-31
58,2013-11-03,158,33.61702127659574,2013,11,44,2013-44
59,2019-09-29,157,33.40425531914894,2019,9,39,2019-39
60,2014-09-14,156,33.191489361702125,2014,9,37,2014-37
61,2012-09-02,156,33.191489361702125,2012,9,35,2012-35
62,2015-09-20,156,33.191489361702125,2015,9,38,2015-38
63,2013-09-22,155,32.97872340425532,2013,9,38,2013-38
64,2014-05-25,155,32.97872340425532,2014,5,21,2014-21
65,2019-11-17,155,32.97872340425532,2019,11,46,2019-46
66,2011-10-23,154,32.76595744680851,2011,10,42,2011-42
67,2020-08-09,154,32.76595744680851,2020,8,32,2020-32
68,2013-10-06,152,32.34042553191489,2013,10,40,2013-40
69,2020-07-05,152,32.34042553191489,2020,7,27,2020-27
70,2011-01-02,152,32.34042553191489,2011,1,52,2011-52
71,2010-07-11,152,32.34042553191489,2010,7,27,2010-27
72,2014-07-20,152,32.34042553191489,2014,7,29,2014-29
73,2014-02-23,151,32.127659574468076,2014,2,8,2014-8
74,2013-09-01,151,32.127659574468076,2013,9,35,2013-35
75,2019-10-06,151,32.127659574468076,2019,10,40,2019-40
76,2017-07-09,150,31.914893617021274,2017,7,27,2017-27
77,2013-11-24,150,31.914893617021274,2013,11,47,2013-47
78,2016-07-10,149,31.702127659574465,2016,7,27,2016-27
79,2012-07-15,149,31.702127659574465,2012,7,28,2012-28
80,2012-07-22,147,31.276595744680854,2012,7,29,2012-29
81,2011-09-04,147,31.276595744680854,2011,9,35,2011-35
82,2019-12-15,147,31.276595744680854,2019,12,50,2019-50
83,2013-09-15,147,31.276595744680854,2013,9,37,2013-37
84,2020-08-23,147,31.276595744680854,2020,8,34,2020-34
85,2019-07-07,147,31.276595744680854,2019,7,27,2019-27
86,2008-11-02,146,31.063829787234038,2008,11,44,2008-44
