Category: All categories

Week,Barack Obama: (United States)
2008-05-04,9
2008-05-11,9
2008-05-18,8
2008-05-25,7
2008-06-01,15
2008-06-08,10
2008-06-15,8
2008-06-22,8
2008-06-29,7
2008-07-06,8
2008-07-13,9
2008-07-20,9
2008-07-27,9
2008-08-03,9
2008-08-10,8
2008-08-17,16
2008-08-24,27
2008-08-31,24
2008-09-07,21
2008-09-14,19
2008-09-21,21
2008-09-28,21
2008-10-05,29
2008-10-12,32
2008-10-19,36
2008-10-26,52
2008-11-02,100
2008-11-09,28
2008-11-16,17
2008-11-23,11
2008-11-30,11
2008-12-07,10
2008-12-14,8
2008-12-21,9
2008-12-28,8
2009-01-04,11
2009-01-11,15
2009-01-18,56
2009-01-25,19
2009-02-01,14
2009-02-08,12
2009-02-15,12
2009-02-22,14
2009-03-01,10
2009-03-08,9
2009-03-15,12
2009-03-22,10
2009-03-29,9
2009-04-05,9
2009-04-12,8
2009-04-19,7
2009-04-26,8
