Category: All categories

Week,Ebola: (United States)
2014-04-06,1
2014-04-13,1
2014-04-20,1
2014-04-27,<1
2014-05-04,<1
2014-05-11,<1
2014-05-18,<1
2014-05-25,<1
2014-06-01,<1
2014-06-08,<1
2014-06-15,<1
2014-06-22,1
2014-06-29,1
2014-07-06,<1
2014-07-13,<1
2014-07-20,1
2014-07-27,23
2014-08-03,28
2014-08-10,8
2014-08-17,8
2014-08-24,4
2014-08-31,5
2014-09-07,4
2014-09-14,5
2014-09-21,5
2014-09-28,56
2014-10-05,63
2014-10-12,100
2014-10-19,46
2014-10-26,25
2014-11-02,12
2014-11-09,8
2014-11-16,7
2014-11-23,4
2014-11-30,4
2014-12-07,3
2014-12-14,3
2014-12-21,2
2014-12-28,2
2015-01-04,2
2015-01-11,2
2015-01-18,2
2015-01-25,2
2015-02-01,2
2015-02-08,1
2015-02-15,1
2015-02-22,1
2015-03-01,1
2015-03-08,1
2015-03-15,1
2015-03-22,1
2015-03-29,1
