Category: All categories

Week,Kremlin: (United States)
2014-01-05,0
2014-01-12,0
2014-01-19,31
2014-01-26,0
2014-02-02,0
2014-02-09,0
2014-02-16,31
2014-02-23,30
2014-03-02,45
2014-03-09,62
2014-03-16,62
2014-03-23,0
2014-03-30,46
2014-04-06,0
2014-04-13,31
2014-04-20,47
2014-04-27,0
2014-05-04,0
2014-05-11,0
2014-05-18,35
2014-05-25,0
2014-06-01,0
2014-06-08,37
2014-06-15,0
2014-06-22,0
2014-06-29,59
2014-07-06,37
2014-07-13,37
2014-07-20,0
2014-07-27,55
2014-08-03,51
2014-08-10,0
2014-08-17,36
2014-08-24,0
2014-08-31,0
2014-09-07,34
2014-09-14,34
2014-09-21,35
2014-09-28,34
2014-10-05,0
2014-10-12,34
2014-10-19,34
2014-10-26,34
2014-11-02,50
2014-11-09,33
2014-11-16,56
2014-11-23,0
2014-11-30,32
2014-12-07,100
2014-12-14,59
2014-12-21,67
2014-12-28,76
