Category: All categories

Week,Donald Trump: (United States)
2016-05-01,14
2016-05-08,9
2016-05-15,8
2016-05-22,8
2016-05-29,8
2016-06-05,10
2016-06-12,11
2016-06-19,9
2016-06-26,7
2016-07-03,8
2016-07-10,10
2016-07-17,24
2016-07-24,19
2016-07-31,19
2016-08-07,13
2016-08-14,12
2016-08-21,10
2016-08-28,11
2016-09-04,10
2016-09-11,11
2016-09-18,10
2016-09-25,22
2016-10-02,23
2016-10-09,39
2016-10-16,27
2016-10-23,21
2016-10-30,23
2016-11-06,100
2016-11-13,35
2016-11-20,19
2016-11-27,15
2016-12-04,13
2016-12-11,13
2016-12-18,12
2016-12-25,9
2017-01-01,11
2017-01-08,22
2017-01-15,44
2017-01-22,43
2017-01-29,39
2017-02-05,24
2017-02-12,24
2017-02-19,18
2017-02-26,18
2017-03-05,14
2017-03-12,15
2017-03-19,15
2017-03-26,12
2017-04-02,13
2017-04-09,11
2017-04-16,9
2017-04-23,10
2017-04-30,11
