date,weather,unemployment,isPartial
2006-01-01,22,2,False
2006-02-01,26,1,False
2006-03-01,29,1,False
2006-04-01,29,1,False
2006-05-01,27,1,False
2006-06-01,29,1,False
2006-07-01,28,1,False
2006-08-01,26,1,False
2006-09-01,26,1,False
2006-10-01,28,1,False
2006-11-01,28,1,False
2006-12-01,30,1,False
2007-01-01,37,2,False
2007-02-01,42,1,False
2007-03-01,35,1,False
2007-04-01,37,1,False
2007-05-01,31,1,False
2007-06-01,32,1,False
2007-07-01,30,2,False
2007-08-01,30,1,False
2007-09-01,27,1,False
2007-10-01,29,2,False
2007-11-01,26,2,False
2007-12-01,39,2,False
2008-01-01,37,2,False
2008-02-01,38,2,False
2008-03-01,33,2,False
2008-04-01,33,2,False
2008-05-01,36,2,False
2008-06-01,37,2,False
2008-07-01,30,2,False
2008-08-01,34,2,False
2008-09-01,35,2,False
2008-10-01,25,3,False
2008-11-01,24,3,False
2008-12-01,43,4,False
2009-01-01,36,5,False
2009-02-01,31,5,False
2009-03-01,32,5,False
2009-04-01,33,5,False
2009-05-01,32,4,False
2009-06-01,32,5,False
2009-07-01,29,5,False
2009-08-01,28,5,False
2009-09-01,25,5,False
2009-10-01,31,5,False
2009-11-01,23,5,False
2009-12-01,40,5,False
2010-01-01,36,5,False
2010-02-01,43,5,False
2010-03-01,29,5,False
2010-04-01,30,5,False
2010-05-01,33,4,False
2010-06-01,36,6,False
2010-07-01,33,7,False
2010-08-01,28,4,False
2010-09-01,33,4,False
2010-10-01,31,4,False
2010-11-01,31,4,False
2010-12-01,44,5,False
2011-01-01,53,5,False
2011-02-01,52,4,False
2011-03-01,41,4,False
2011-04-01,49,4,False
2011-05-01,48,4,False
2011-06-01,43,4,False
2011-07-01,39,4,False
2011-08-01,43,4,False
2011-09-01,40,4,False
2011-10-01,37,4,False
2011-11-01,35,4,False
2011-12-01,32,4,False
2012-01-01,38,5,False
2012-02-01,37,4,False
2012-03-01,43,4,False
2012-04-01,42,4,False
2012-05-01,40,4,False
2012-06-01,40,4,False
2012-07-01,40,4,False
2012-08-01,38,3,False
2012-09-01,33,4,False
2012-10-01,44,4,False
2012-11-01,30,4,False
2012-12-01,41,4,False
2013-01-01,41,4,False
2013-02-01,45,3,False
2013-03-01,43,3,False
2013-04-01,44,3,False
2013-05-01,49,3,False
2013-06-01,49,3,False
2013-07-01,43,3,False
2013-08-01,34,3,False
2013-09-01,36,3,False
2013-10-01,37,3,False
2013-11-01,40,3,False
2013-12-01,52,4,False
2014-01-01,65,5,False
2014-02-01,68,4,False
2014-03-01,55,4,False
2014-04-01,51,4,False
2014-05-01,49,3,False
2014-06-01,43,3,False
2014-07-01,45,2,False
2014-08-01,40,2,False
2014-09-01,41,2,False
2014-10-01,40,2,False
2014-11-01,50,2,False
2014-12-01,45,2,False
2015-01-01,56,3,False
2015-02-01,68,2,False
2015-03-01,52,2,False
2015-04-01,51,2,False
2015-05-01,55,2,False
2015-06-01,56,2,False
2015-07-01,48,2,False
2015-08-01,44,2,False
2015-09-01,44,2,False
2015-10-01,47,2,False
2015-11-01,46,2,False
2015-12-01,48,2,False
2016-01-01,63,2,False
2016-02-01,57,2,False
2016-03-01,58,2,False
2016-04-01,58,2,False
2016-05-01,61,2,False
2016-06-01,57,2,False
2016-07-01,54,2,False
2016-08-01,47,2,False
2016-09-01,48,2,False
2016-10-01,52,2,False
2016-11-01,43,2,False
2016-12-01,62,2,False
2017-01-01,69,2,False
2017-02-01,61,2,False
2017-03-01,67,2,False
2017-04-01,64,2,False
2017-05-01,62,2,False
2017-06-01,69,2,False
2017-07-01,61,2,False
2017-08-01,62,2,False
2017-09-01,64,2,False
2017-10-01,64,2,False
2017-11-01,63,2,False
2017-12-01,76,2,False
2018-01-01,91,2,False
2018-02-01,84,2,False
2018-03-01,89,2,False
2018-04-01,85,2,False
2018-05-01,86,1,False
2018-06-01,77,1,False
2018-07-01,77,2,False
2018-08-01,73,1,False
2018-09-01,78,1,False
2018-10-01,73,2,False
2018-11-01,72,2,False
2018-12-01,69,2,False
2019-01-01,97,2,False
2019-02-01,100,2,False
2019-03-01,77,2,False
2019-04-01,73,2,False
2019-05-01,80,1,False
2019-06-01,72,1,False
2019-07-01,63,2,False
2019-08-01,57,1,False
2019-09-01,55,1,False
2019-10-01,74,1,False
2019-11-01,77,1,False
2019-12-01,75,2,False
2020-01-01,76,2,False
2020-02-01,75,2,False
2020-03-01,64,15,False
2020-04-01,61,36,False
2020-05-01,69,25,False
2020-06-01,68,21,False
2020-07-01,63,21,False
2020-08-01,65,19,False
2020-09-01,64,16,True
