,year,state
0,2006,NY
1,2006,TX
2,2006,MI
3,2006,VA
4,2006,PA
5,2006,OK
6,2006,CO
7,2006,MN
8,2006,OR
9,2006,MO
10,2006,SC
11,2006,IL
12,2006,NY
13,2006,TX
14,2006,LA
15,2006,NH
16,2006,KS
17,2006,IL
18,2006,WA
19,2006,VA
20,2006,CA
21,2006,NC
22,2006,MO
23,2006,PA
24,2006,TX
25,2006,KY
26,2006,CA
27,2006,CA
28,2006,VT
29,2006,OR
30,2006,CA
31,2006,AK
32,2006,FL
33,2006,WA
34,2006,MI
35,2006,CA
36,2006,KS
37,2006,GA
38,2006,IN
39,2006,GA
40,2006,NC
41,2006,CA
42,2006,CA
43,2006,SC
44,2006,KY
45,2006,CA
46,2006,IN
47,2006,OR
48,2006,NM
49,2006,IN
50,2006,AR
51,2006,MO
52,2006,WI
53,2006,CA
54,2006,CA
55,2006,WI
56,2006,NJ
57,2006,CA
58,2006,FL
59,2006,OH
60,2006,LA
61,2006,CA
62,2006,CA
63,2006,NY
64,2006,LA
65,2006,CO
66,2006,ID
67,2006,MO
68,2006,CA
69,2006,MI
70,2006,OR
71,2006,CA
72,2006,CT
73,2006,VA
74,2006,OH
75,2006,OH
76,2006,WY
77,2006,CA
78,2006,CA
79,2006,ID
80,2006,OR
81,2006,TX
82,2006,TX
83,2006,NC
84,2006,MA
86,2006,VA
87,2006,CA
88,2006,AL
89,2006,MA
90,2006,IN
91,2006,WA
92,2006,CA
93,2006,MA
94,2006,WI
95,2006,OK
96,2006,CO
97,2006,TX
98,2006,IL
99,2006,WA
100,2006,CA
101,2006,TX
102,2006,KY
103,2006,NC
104,2006,CO
105,2006,FL
106,2006,CA
107,2006,IL
108,2006,FL
109,2006,FL
110,2006,WA
111,2006,TX
112,2006,MD
113,2006,KS
114,2006,WA
115,2006,LA
116,2006,CA
117,2006,PA
118,2006,CA
119,2006,CA
120,2006,CA
121,2006,CA
122,2006,NC
123,2006,CA
124,2006,TN
125,2006,TX
126,2006,CA
127,2006,NE
128,2006,CO
129,2006,CO
130,2006,IL
131,2006,NM
132,2006,CA
133,2006,PA
134,2006,NH
135,2006,GA
136,2006,IN
137,2006,CA
138,2006,TX
139,2006,PA
140,2006,OK
141,2006,CA
142,2006,CA
143,2006,AR
144,2006,LA
145,2006,OH
146,2006,MN
147,2006,FL
148,2006,FL
149,2006,GA
150,2006,MI
151,2006,CA
152,2006,CA
154,2006,FL
155,2006,TX
156,2006,MI
157,2006,FL
158,2006,PA
159,2006,CO
160,2006,NY
161,2006,TX
162,2006,NJ
163,2006,IL
164,2006,TX
165,2006,CA
166,2006,WA
167,2006,MD
168,2006,TX
169,2006,PA
170,2006,CO
171,2006,IL
172,2006,GA
173,2006,LA
174,2006,NJ
175,2006,OH
176,2006,DE
177,2006,OH
178,2006,FL
179,2006,KS
180,2006,PA
181,2006,NM
182,2006,OH
183,2006,TX
184,2006,AR
185,2006,MT
186,2006,AL
187,2006,TN
188,2006,AR
189,2006,WA
190,2006,NE
191,2006,UT
192,2006,MI
194,2006,AZ
195,2006,CA
196,2006,IN
197,2006,FL
198,2006,TX
199,2006,PA
200,2006,CT
201,2006,ND
202,2006,CA
203,2006,CA
204,2006,VA
205,2006,PA
206,2006,NJ
207,2006,CA
208,2006,TX
209,2006,AZ
210,2006,IL
211,2006,NV
212,2006,NC
213,2006,TN
214,2006,OH
215,2006,OH
216,2006,KS
217,2006,MO
218,2006,OK
219,2006,IN
220,2006,MD
221,2006,IN
222,2006,AZ
223,2006,MI
224,2006,MN
225,2006,TN
226,2006,TX
227,2006,NC
228,2006,CA
229,2006,OK
230,2006,NM
231,2006,MA
232,2006,MD
233,2006,WA
234,2006,CA
235,2006,CA
236,2006,NC
237,2006,OR
238,2006,TX
239,2006,IN
240,2006,MO
241,2006,WA
242,2006,NM
243,2006,CA
244,2006,CA
245,2006,UT
246,2006,FL
247,2006,WV
248,2006,CA
249,2006,PA
250,2006,TX
251,2006,WA
252,2006,OR
253,2006,WA
254,2006,MI
255,2006,CO
256,2006,TX
257,2006,MN
258,2006,WA
259,2006,WA
260,2006,AZ
261,2006,MN
262,2006,WV
263,2006,UT
264,2006,MA
265,2006,OR
266,2006,VA
267,2006,TX
268,2006,MI
269,2006,FL
270,2006,OR
271,2006,CA
272,2006,VA
273,2006,NJ
274,2006,IL
275,2006,KY
276,2006,OR
277,2006,CA
278,2006,WA
279,2006,NV
280,2006,VT
281,2006,NJ
282,2006,OR
283,2006,OR
284,2006,WA
285,2006,CA
286,2006,ID
287,2006,NY
288,2006,WA
289,2006,PA
290,2006,LA
291,2006,NY
292,2006,UT
293,2006,NY
294,2006,NY
295,2006,MA
296,2006,ID
297,2006,CA
298,2006,OR
299,2006,OR
300,2006,WA
301,2006,OR
302,2006,OR
303,2006,OR
304,2006,OR
305,2006,OR
306,2006,OR
307,2006,AZ
308,2006,WA
